term,topic_id,enrichment_data
bose-einstein condensates,1.2,"{""explanation"":""A fifth state of matter occurring near absolute zero where bosons collapse into a single quantum state, exhibiting macroscopic quantum phenomena like superfluidity."",""urdu_meaning"":""بوز-آئنسٹائن کونڈینسیٹ - مادّے کی وہ حالت جہاں بوزون مطلق صفر کے قریب ایک ہی کوانٹم حالت میں جمع ہو جاتے ہیں"",""term_type"":""concept"",""example_sentence"":""Researchers create Bose-Einstein condensates using laser cooling and magnetic traps to study quantum entanglement."",""properties"":{""key_principle"":""Macroscopic quantum coherence"",""related_concepts"":[""quantum degeneracy"",""superfluidity"",""matter waves"",""Bose statistics""],""real_world_example"":""Atom lasers for precision interferometry in gravitational wave detectors""}}"
brownian motion,1.2,"{""explanation"":""The random movement of microscopic particles suspended in a fluid caused by collisions with fast-moving molecules, demonstrating molecular kinetic energy."",""urdu_meaning"":""براؤنی حرکت - مائیکروسکوپک ذرّات کا سیّال میں بے ترتیب حرکت جو سالماتی تصادم سے پیدا ہوتی ہے"",""term_type"":""concept"",""example_sentence"":""Brownian motion of pollen grains in water provided the first direct evidence for atomic theory."",""properties"":{""key_principle"":""Stochastic molecular collisions"",""related_concepts"":[""diffusion"",""kinetic theory"",""Einstein-Smoluchowski equation"",""thermal energy""],""real_world_example"":""Dispersion of pollutants in atmosphere""}}"
caffeine,1.2,"{""explanation"":""A xanthine alkaloid compound (C8H10N4O2) found in coffee beans and tea leaves that acts as a central nervous system stimulant by blocking adenosine receptors."",""urdu_meaning"":""کیفین - ایک نامیاتی مرکب جو کافی پھلیوں میں پایا جاتا ہے"",""term_type"":""compound"",""example_sentence"":""Caffeine's solubility in supercritical carbon dioxide enables eco-friendly decaffeination of coffee beans."",""properties"":{""formula"":""C8H10N4O2"",""molar_mass"":""194.19 g/mol"",""state_room_temp"":""solid"",""hazards"":[""insomnia"",""cardiac arrhythmia"",""chemical dependency""]}}"
carbon atoms,1.2,"{""explanation"":""Fundamental building blocks of organic chemistry with four valence electrons, capable of forming diverse allotropes and covalent bonds."",""urdu_meaning"":""کاربن ایٹم - نامیاتی کیمسٹری کے بنیادی ذرّات جو چار ظاہری الیکٹران رکھتے ہیں"",""term_type"":""concept"",""example_sentence"":""Carbon atoms in diamond form tetrahedral networks through sp³ hybridization."",""properties"":{""key_principle"":""Tetravalency and catenation"",""related_concepts"":[""allotropes"",""covalent bonding"",""hybridization"",""organic synthesis""],""real_world_example"":""Structural basis for graphene (sp²) and diamond (sp³)""}}"
chemical bonding,1.2,"{""explanation"":""The attractive force holding atoms together in molecules or crystals through electron sharing, transfer, or delocalization."",""urdu_meaning"":""کیمیائی بندھن - ایٹموں کو جکڑنے والی قوّت جو سالمات یا قلم بناتی ہے"",""term_type"":""concept"",""example_sentence"":""Chemical bonding determines molecular geometry through VSEPR theory and orbital hybridization."",""properties"":{""key_principle"":""Electrostatic stabilization"",""related_concepts"":[""ionic bonds"",""covalent bonds"",""metallic bonds"",""hydrogen bonds"",""molecular orbital theory""],""real_world_example"":""Enzyme-substrate specificity in biological catalysis""}}"
coffee beans,1.2,"{""explanation"":""Seeds from Coffea plants containing complex mixtures of alkaloids, phenols, and volatile compounds that undergo Maillard reactions during roasting."",""urdu_meaning"":""کافی پھلیاں - کوفیا پودوں کے بیج جو کیفین اور دیگر مرکّبات پر مشتمل ہوتے ہیں"",""term_type"":""other"",""example_sentence"":""Supercritical fluid extraction with CO₂ removes caffeine from green coffee beans."",""properties"":{""description"":""Natural source of psychoactive compounds"",""relevance"":""Extraction chemistry and food science applications""}}"
colloids,1.2,"{""explanation"":""Heterogeneous mixtures where microscopic particles (1-1000 nm) are dispersed in a continuous phase, exhibiting Tyndall effect and Brownian motion."",""urdu_meaning"":""کولائیڈز - غیر متجانس مرکّبات جہاں ذرّات مسلسل میڈیم میں منتشر ہوتے ہیں"",""term_type"":""concept"",""example_sentence"":""Milk is an oil-in-water colloid stabilized by casein proteins."",""properties"":{""key_principle"":""Stabilized by surface charges"",""related_concepts"":[""emulsions"",""gels"",""aerosols"",""DLVO theory""],""real_world_example"":""Pharmaceutical drug delivery systems""}}"
compressible,1.2,"{""explanation"":""Property of fluids allowing significant volume reduction under pressure due to large intermolecular spaces, described by Boyle's law."",""urdu_meaning"":""پچکاؤ پذیر - دباؤ کے تحت حجم میں نمایاں کمی کی خاصیت"",""term_type"":""property"",""example_sentence"":""Compressible gases like helium require special equations in high-pressure thermodynamics."",""properties"":{""key_principle"":""Inverse P-V relationship"",""related_concepts"":[""ideal gas law"",""compressibility factor"",""adiabatic process"",""Mach number""],""real_world_example"":""Scuba diving tanks storing air at 200 atm""}}"
condensation,1.2,"{""explanation"":""Phase transition where vapor loses thermal energy and converts to liquid through intermolecular attraction, releasing latent heat."",""urdu_meaning"":""انجماد - بخارات سے مائع میں تبدیلی کا عمل"",""term_type"":""process"",""example_sentence"":""Condensation of water vapor on cold surfaces drives cloud formation and distillation processes."",""properties"":{""key_principle"":""ΔH_vaporization release"",""related_concepts"":[""dew point"",""nucleation"",""Clausius-Clapeyron equation"",""heat transfer""],""real_world_example"":""Refrigerant cycles in air conditioners""}}"
crystalline structure,1.2,"{""explanation"":""Highly ordered arrangement of atoms/molecules in solids with repeating unit cells defined by lattice parameters and symmetry."",""urdu_meaning"":""قلمی ساخت - ٹھوس میں ایٹموں کی ترتیب وار تکرار"",""term_type"":""concept"",""example_sentence"":""X-ray diffraction reveals crystalline structure through Bragg's law interference patterns."",""properties"":{""key_principle"":""Translational periodicity"",""related_concepts"":[""Bravais lattices"",""Miller indices"",""defects"",""polymorphism""],""real_world_example"":""Silicon wafers in semiconductor manufacturing""}}"
definite shape,1.2,"{""explanation"":""Property of solids where strong intermolecular forces maintain fixed particle positions and geometric arrangement."",""urdu_meaning"":""مخصوص شکل - ٹھوس کا وہ خاصہ جہاں ذرّات کی مقامات مستقل ہوتی ہیں"",""term_type"":""property"",""example_sentence"":""The definite shape of crystalline solids arises from rigid lattice structures."",""properties"":{""key_principle"":""Fixed mean positions"",""related_concepts"":[""elasticity"",""crystal systems"",""yield strength"",""amorphous solids""],""real_world_example"":""Diamond cutting tools maintaining edge geometry""}}"
definite volume,1.2,"{""explanation"":""Property of condensed phases (solids/liquids) where incompressibility maintains constant density under pressure."",""urdu_meaning"":""مخصوص حجم - ٹھوس/مائع کا وہ خاصہ جہاں دباؤ کے باوجود حجم قائم رہتا ہے"",""term_type"":""property"",""example_sentence"":""Liquids maintain definite volume due to short-range intermolecular forces."",""properties"":{""key_principle"":""Low compressibility"",""related_concepts"":[""density"",""Archimedes' principle"",""hydraulic systems"",""thermal expansion""],""real_world_example"":""Hydraulic fluid transmission in machinery""}}"
density,1.2,"{""explanation"":""Mass per unit volume (ρ=m/V), an intensive property determining buoyancy and material purity."",""urdu_meaning"":""کثافت - کمیت فی اکائی حجم"",""term_type"":""property"",""example_sentence"":""Density gradients in ultracentrifugation separate cellular components by molecular mass."",""properties"":{""key_principle"":""Material-specific constant"",""related_concepts"":[""specific gravity"",""pycnometer"",""crystal packing efficiency"",""composition analysis""],""real_world_example"":""Lead radiation shielding (ρ=11.34 g/cm³)""}}"
electric fields,1.2,"{""explanation"":""Region where charged particles experience Coulomb forces, influencing ion motion in electrolytes and plasma."",""urdu_meaning"":""برقی میدان - وہ خطّہ جہاں باردار ذرّات قوّت محسوس کرتے ہیں"",""term_type"":""concept"",""example_sentence"":""Electric fields accelerate ions in mass spectrometers for m/z separation."",""properties"":{""key_principle"":""Force per unit charge"",""related_concepts"":[""electrophoresis"",""capacitance"",""dielectrics"",""ion drift""],""real_world_example"":""Electrostatic precipitators removing particulates""}}"
electrons,1.2,"{""explanation"":""Subatomic particles carrying negative charge that occupy atomic orbitals and mediate chemical bonding."",""urdu_meaning"":""الیکٹران - زیرجوہری ذرّات جو منفی بار رکھتے ہیں"",""term_type"":""concept"",""example_sentence"":""Delocalized electrons in metallic bonds enable electrical conductivity."",""properties"":{""key_principle"":""Fermi-Dirac statistics"",""related_concepts"":[""quantum numbers"",""Pauli exclusion"",""band theory"",""redox reactions""],""real_world_example"":""Electron beams in cathode ray tubes""}}"
energy,1.2,"{""explanation"":""Capacity to do work or produce heat, conserved in chemical systems through enthalpy changes."",""urdu_meaning"":""توانائی - کام کرنے یا حرارت پیدا کرنے کی صلاحیت"",""term_type"":""concept"",""example_sentence"":""Activation energy barriers determine reaction kinetics in Arrhenius equation."",""properties"":{""key_principle"":""First law of thermodynamics"",""related_concepts"":[""enthalpy"",""Gibbs free energy"",""entropy"",""quantization""],""real_world_example"":""Exothermic combustion in engines""}}"
exotic states,1.2,"{""explanation"":""Non-classical matter phases like Bose-Einstein condensates or quantum spin liquids exhibiting unique quantum behaviors."",""urdu_meaning"":""غیر معمولی حالتیں - مادّے کی وہ حالتیں جو کلاسیکی طبیعیات سے ہٹ کر ہوں"",""term_type"":""concept"",""example_sentence"":""Exotic states such as fermionic condensates form near absolute zero."",""properties"":{""key_principle"":""Macroscopic quantum effects"",""related_concepts"":[""superfluidity"",""superconductivity"",""topological order"",""fractional quantum Hall effect""],""real_world_example"":""Quantum computing platforms""}}"
fluorescent tubes,1.2,"{""explanation"":""Gas-discharge lamps containing mercury vapor that emits UV light when ionized, converted to visible light by phosphor coatings."",""urdu_meaning"":""فلورسنٹ ٹیوبیں - روشنی کی وہ ٹیوبیں جن میں بخارات کا استعمال ہوتا ہے"",""term_type"":""other"",""example_sentence"":""Fluorescent tubes demonstrate plasma physics through mercury vapor ionization."",""properties"":{""description"":""Application of plasma state"",""relevance"":""Gas ionization and energy conversion""}}"
freezing,1.2,"{""explanation"":""Phase transition where liquids lose thermal energy, forming ordered solids through nucleation and crystal growth."",""urdu_meaning"":""جمنا - مائع سے ٹھوس میں تبدیلی کا عمل"",""term_type"":""process"",""example_sentence"":""Freezing point depression by solutes prevents ice formation in antifreeze solutions."",""properties"":{""key_principle"":""ΔH_fusion release"",""related_concepts"":[""supercooling"",""crystal lattice formation"",""eutectic systems"",""nucleation agents""],""real_world_example"":""Cryopreservation of biological samples""}}"
gas,1.2,"{""explanation"":""State of matter with negligible intermolecular forces, filling containers completely with compressible volume and rapid diffusion."",""urdu_meaning"":""گیس - مادّے کی وہ حالت جہاں سالمات کے درمیان کشش نہ ہونے کے برابر ہو"",""term_type"":""concept"",""example_sentence"":""Ideal gases follow PV=nRT equation at low pressures and high temperatures."",""properties"":{""key_principle"":""Maxwell-Boltzmann distribution"",""related_concepts"":[""kinetic molecular theory"",""partial pressure"",""effusion"",""van der Waals equation""],""real_world_example"":""Natural gas pipelines and storage""}}"
graphene,1.2,"{""explanation"":""Two-dimensional carbon allotrope with sp²-hybridized atoms in hexagonal lattice, exhibiting exceptional electrical and thermal conductivity."",""urdu_meaning"":""گرافین - کاربن کی دو جہتی تہ جو شش پہلو والی ساخت پر مشتمل ہوتی ہے"",""term_type"":""concept"",""example_sentence"":""Graphene's high surface area makes it ideal for catalytic supports and sensors."",""properties"":{""key_principle"":""Dirac cone electronic structure"",""related_concepts"":[""quantum Hall effect"",""van der Waals heterostructures"",""nanoribbons"",""ballistic transport""],""real_world_example"":""Flexible transparent electrodes in displays""}}"
incompressible,1.2,"{""explanation"":""Property of liquids/solids where minimal volume change occurs under pressure due to dense molecular packing."",""urdu_meaning"":""ناقابلِ پچکاؤ - دباؤ کے تحت حجم میں نہ ہونے کے برابر تبدیلی"",""term_type"":""property"",""example_sentence"":""Hydraulic systems utilize incompressible fluids for force transmission."",""properties"":{""key_principle"":""Constant density"",""related_concepts"":[""Pascal's law"",""bulk modulus"",""hydraulic press"",""sonic velocity""],""real_world_example"":""Brake fluid in automotive systems""}}"
intermolecular forces,1.2,"{""explanation"":""Attractive/repulsive forces between molecules including London dispersion, dipole-dipole, and hydrogen bonding."",""urdu_meaning"":""بین سالماتی قوّتیں - سالمات کے درمیان کشش یا دافع قوّتیں"",""term_type"":""concept"",""example_sentence"":""Intermolecular forces dictate capillary action through cohesive and adhesive interactions."",""properties"":{""key_principle"":""Strength: H-bond > dipole > dispersion"",""related_concepts"":[""van der Waals equation"",""surface tension"",""viscosity"",""solubility""],""real_world_example"":""Protein folding stability via H-bonds""}}"
intermolecular spaces,1.2,"{""explanation"":""Distances between molecules determining compressibility and density, largest in gases and smallest in solids."",""urdu_meaning"":""بین سالماتی فاصلے - سالمات کے درمیان خالی جگہیں"",""term_type"":""concept"",""example_sentence"":""Large intermolecular spaces in gases allow high compressibility."",""properties"":{""key_principle"":""Order: gas >> liquid > solid"",""related_concepts"":[""free volume"",""diffusion coefficients"",""thermal expansion"",""packing efficiency""],""real_world_example"":""Porous materials for gas storage""}}"
ionized gas,1.2,"{""explanation"":""Plasma state containing free electrons and ions formed by high-energy dissociation of gas molecules."",""urdu_meaning"":""آئنائزڈ گیس - پلازما حالت جہاں الیکٹران اور آئن آزادانہ حرکت کرتے ہیں"",""term_type"":""concept"",""example_sentence"":""Ionized gas in fluorescent tubes conducts electricity through charged particles."",""properties"":{""key_principle"":""Quasi-neutrality"",""related_concepts"":[""Debye length"",""Langmuir probes"",""magnetohydrodynamics"",""double layers""],""real_world_example"":""Neon signs and plasma displays""}}"
ions,1.2,"{""explanation"":""Atoms/molecules with net charge due to electron loss/gain, participating in ionic bonding and electrolysis."",""urdu_meaning"":""آئن - ایٹم یا سالمات جو الیکٹران کی منتقلی کے باعث باردار ہوں"",""term_type"":""concept"",""example_sentence"":""Hydronium ions (H3O⁺) determine pH in aqueous solutions."",""properties"":{""key_principle"":""Coulombic interactions"",""related_concepts"":[""electrolytes"",""migration"",""ionic strength"",""Debye-Hückel theory""],""real_world_example"":""Lithium-ion batteries""}}"
lcds,1.2,"{""explanation"":""Liquid Crystal Displays utilizing birefringent molecules that align under electric fields to modulate light polarization."",""urdu_meaning"":""ایل سی ڈی - مائع قلمی ڈسپلے جو برقی میدان میں قطبی ہوتے ہیں"",""term_type"":""other"",""example_sentence"":""LCDs rely on nematic liquid crystals with positive dielectric anisotropy."",""properties"":{""description"":""Application of liquid crystals"",""relevance"":""Electro-optical modulation""}}"
light passage,1.2,"{""explanation"":""Transmission of electromagnetic radiation through materials, affected by absorption, scattering, and refractive index."",""urdu_meaning"":""روشنی کا گزر - برقی مقناطیسی اشعاع کا مواد سے گزرنا"",""term_type"":""concept"",""example_sentence"":""Light passage through colloidal suspensions exhibits Tyndall scattering."",""properties"":{""key_principle"":""Beer-Lambert law"",""related_concepts"":[""refraction"",""turbidity"",""optical density"",""spectrophotometry""],""real_world_example"":""Fiber optic communication""}}"
lightning,1.2,"{""explanation"":""Natural electrical discharge through ionized air channels, generating plasma with temperatures exceeding 30,000K."",""urdu_meaning"":""بجلی کا کڑکنا - فضا میں قدرتی برقی تخلیہ"",""term_type"":""other"",""example_sentence"":""Lightning produces ozone through plasma-driven reactions."",""properties"":{""description"":""Atmospheric plasma phenomenon"",""relevance"":""Gas ionization and nitrogen fixation""}}"
liquid crystals,1.2,"{""explanation"":""Mesophase exhibiting fluidity like liquids but molecular orientation order like solids, sensitive to electric/temperature fields."",""urdu_meaning"":""مائع قلمی - مائع اور ٹھوس کے درمیان کی حالت"",""term_type"":""concept"",""example_sentence"":""Liquid crystals in thermometers change color with molecular rearrangement."",""properties"":{""key_principle"":""Anisotropic optical properties"",""related_concepts"":[""nematic phase"",""smectic phase"",""birefringence"",""order parameter""],""real_world_example"":""Digital watch displays""}}"
matter,1.2,"{""explanation"":""Anything occupying space and having mass, existing in classical states (solid/liquid/gas) or exotic quantum phases."",""urdu_meaning"":""مادّہ - وہ شے جو جگہ گھیرے اور کمیت رکھتی ہو"",""term_type"":""concept"",""example_sentence"":""Matter undergoes phase transitions when thermal energy overcomes intermolecular forces."",""properties"":{""key_principle"":""Composed of atoms/molecules"",""related_concepts"":[""mass"",""energy equivalence"",""conservation laws"",""standard model""],""real_world_example"":""Water cycling through solid/liquid/gas states""}}"
mean positions,1.2,"{""explanation"":""Fixed lattice sites in solids where atoms vibrate around equilibrium points, maintaining structural integrity."",""urdu_meaning"":""اوسط مقامات - ٹھوس میں وہ مقامات جہاں ایٹم اوسطاً موجود رہتے ہیں"",""term_type"":""concept"",""example_sentence"":""Atoms oscillate around mean positions in crystalline solids at finite temperatures."",""properties"":{""key_principle"":""Harmonic approximation"",""related_concepts"":[""phonons"",""Debye model"",""thermal expansion"",""X-ray crystallography""],""real_world_example"":""Semiconductor doping without lattice disruption""}}"
melting,1.2,"{""explanation"":""Phase transition where solids absorb latent heat to overcome lattice forces, gaining fluidity while maintaining density."",""urdu_meaning"":""پگھلنا - ٹھوس سے مائع میں تبدیلی کا عمل"",""term_type"":""process"",""example_sentence"":""Melting point determination identifies compounds through characteristic phase-change temperatures."",""properties"":{""key_principle"":""ΔH_fusion absorption"",""related_concepts"":[""fusion curve"",""congruent melting"",""entropy increase"",""superheating""],""real_world_example"":""Solder (Pb-Sn eutectic) melting in electronics""}}"
molecular motion,1.2,"{""explanation"":""Kinetic movements of molecules including translation, rotation, and vibration, increasing with temperature."",""urdu_meaning"":""سالماتی حرکت - سالمات کی حرکات: انتقالی، گردشی اور ارتعاشی"",""term_type"":""concept"",""example_sentence"":""Molecular motion in gases follows Maxwell-Boltzmann velocity distribution."",""properties"":{""key_principle"":""Equipartition theorem"",""related_concepts"":[""kinetic energy"",""degrees of freedom"",""specific heat"",""diffusion""],""real_world_example"":""Heat conduction through lattice vibrations""}}"
oscillate,1.2,"{""explanation"":""Vibrational movement of particles around fixed positions in solids or during molecular collisions."",""urdu_meaning"":""ارتعاش کرنا - ذرّات کا اوسط مقام کے گرد حرکت کرنا"",""term_type"":""concept"",""example_sentence"":""Atoms in crystals oscillate with amplitudes proportional to temperature."",""properties"":{""key_principle"":""Simple harmonic motion"",""related_concepts"":[""phonons"",""infrared spectroscopy"",""Debye frequency"",""zero-point energy""],""real_world_example"":""Atomic force microscopy imaging""}}"
particle arrangement,1.2,"{""explanation"":""Spatial organization of atoms/molecules determining material properties, ranging from disordered (amorphous) to ordered (crystalline)."",""urdu_meaning"":""ذرّاتی ترتیب - ایٹموں/سالمات کی تنظیم جو مادّے کے خواص طے کرتی ہے"",""term_type"":""concept"",""example_sentence"":""Close-packed particle arrangement in metals maximizes metallic bonding efficiency."",""properties"":{""key_principle"":""Energy minimization"",""related_concepts"":[""crystal systems"",""packing efficiency"",""defects"",""radial distribution function""],""real_world_example"":""Alloy strengthening through interstitial sites""}}"
particle movement,1.2,"{""explanation"":""Kinetic behavior of atoms/molecules including diffusion, convection, and drift under concentration or force gradients."",""urdu_meaning"":""ذرّاتی حرکت - ایٹموں/سالمات کی حرکات جن میں انتشار اور بہاؤ شامل ہیں"",""term_type"":""concept"",""example_sentence"":""Particle movement in electrolytic solutions follows Nernst-Planck equation."",""properties"":{""key_principle"":""Fick's laws of diffusion"",""related_concepts"":[""mobility"",""Einstein relation"",""Stokes-Einstein equation"",""drift velocity""],""real_world_example"":""Drug delivery through skin layers""}}"
particle theory,1.2,"{""explanation"":""Model explaining matter properties through particle behavior, including kinetic energy, collisions, and intermolecular forces."",""urdu_meaning"":""ذرّاتی نظریہ - مادّے کے خواص کی وضاحت ذرّات کی حرکات سے کرتا ہے"",""term_type"":""concept"",""example_sentence"":""Particle theory explains pressure as molecular collisions per unit area."",""properties"":{""key_principle"":""Molecular dynamics"",""related_concepts"":[""kinetic theory"",""statistical mechanics"",""Brownian motion"",""mean free path""],""real_world_example"":""Computational chemistry simulations""}}"
particles,1.2,"{""explanation"":""Fundamental constituents of matter including atoms, molecules, ions, and subatomic particles."",""urdu_meaning"":""ذرّات - مادّے کے بنیادی اجزاء"",""term_type"":""concept"",""example_sentence"":""Charged particles in plasma respond collectively to electromagnetic fields."",""properties"":{""key_principle"":""Wave-particle duality"",""related_concepts"":[""quantum mechanics"",""colloids"",""aerosols"",""nucleation""],""real_world_example"":""Particle accelerators in nuclear chemistry""}}"
phase changes,1.2,"{""explanation"":""Transitions between matter states (solid/liquid/gas/plasma) involving latent heat transfer and entropy changes."",""urdu_meaning"":""حالتی تبدیلیاں - مادّے کی حالتوں کے درمیان منتقلی"",""term_type"":""concept"",""example_sentence"":""Phase changes in refrigerant cycles enable heat pumps and cooling systems."",""properties"":{""key_principle"":""Gibbs energy minimization"",""related_concepts"":[""triple point"",""critical point"",""Clausius-Clapeyron"",""phase diagrams""],""real_world_example"":""Freeze-drying (lyophilization) of pharmaceuticals""}}"
photons,1.2,"{""explanation"":""Quanta of electromagnetic radiation carrying energy proportional to frequency (E=hν), mediating light-matter interactions."",""urdu_meaning"":""فوٹون - برقی مقناطیسی اشعاع کے کوانٹا"",""term_type"":""concept"",""example_sentence"":""Photons excite electrons during photosynthesis in the Z-scheme."",""properties"":{""key_principle"":""Wave-particle duality"",""related_concepts"":[""photoelectric effect"",""quantum yield"",""stimulated emission"",""Compton scattering""],""real_world_example"":""Photovoltaic cells converting sunlight""}}"
plasma,1.2,"{""explanation"":""Fourth state of matter consisting of ionized gas with quasineutral mixtures of electrons, ions, and neutrals."",""urdu_meaning"":""پلازما - مادّے کی چوتھی حالت جس میں گیس آئنائزڈ ہوتی ہے"",""term_type"":""concept"",""example_sentence"":""Plasma etching creates nanoscale patterns in semiconductor fabrication."",""properties"":{""key_principle"":""Collective behavior"",""related_concepts"":[""Debye shielding"",""Langmuir waves"",""magnetohydrodynamics"",""sputtering""],""real_world_example"":""Fusion reactors like ITER""}}"
pressure,1.2,"{""explanation"":""Force per unit area exerted by particle collisions, influencing phase equilibria and reaction rates."",""urdu_meaning"":""دباؤ - فی اکائی رقبہ قوّت جو ذرّاتی تصادم سے پیدا ہوتی ہے"",""term_type"":""property"",""example_sentence"":""High-pressure conditions in industrial reactors accelerate chemical synthesis."",""properties"":{""key_principle"":""P = F/A"",""related_concepts"":[""partial pressure"",""osmosis"",""manometer"",""Le Chatelier's principle""],""real_world_example"":""Haber process ammonia synthesis""}}"
quantum spin liquids,1.2,"{""explanation"":""Exotic magnetic state where electron spins remain disordered even at absolute zero, exhibiting long-range entanglement."",""urdu_meaning"":""کوانٹم سپن مائع - مقناطیسی حالت جہاں سپن بے ترتیب رہتے ہیں"",""term_type"":""concept"",""example_sentence"":""Quantum spin liquids in herbertsmithite challenge conventional magnetism models."",""properties"":{""key_principle"":""Topological order"",""related_concepts"":[""frustrated magnetism"",""anyons"",""spin ice"",""quantum computing""],""real_world_example"":""Fault-tolerant quantum memory storage""}}"
random motion,1.2,"{""explanation"":""Stochastic movement of particles due to thermal energy, described by diffusion equations and Brownian dynamics."",""urdu_meaning"":""بے ترتیب حرکت - حرارتی توانائی سے پیدا ہونے والی ذرّاتی حرکت"",""term_type"":""concept"",""example_sentence"":""Random motion of gas molecules causes effusion through small orifices."",""properties"":{""key_principle"":""Wiener process"",""related_concepts"":[""Fick's laws"",""Langevin equation"",""mean squared displacement"",""stochastic resonance""],""real_world_example"":""Perfume diffusion in air""}}"
solid,1.2,"{""explanation"":""State of matter with fixed shape/volume due to strong intermolecular forces and restricted particle motion."",""urdu_meaning"":""ٹھوس - مادّے کی وہ حالت جس کی مخصوص شکل اور حجم ہو"",""term_type"":""concept"",""example_sentence"":""Solids exhibit long-range order in crystalline forms or disorder in amorphous glasses."",""properties"":{""key_principle"":""Vibrational motion only"",""related_concepts"":[""elastic modulus"",""yield strength"",""dislocations"",""polymorphism""],""real_world_example"":""Silicon crystals in microelectronics""}}"
stars,1.2,"{""explanation"":""Celestial plasmas where nuclear fusion occurs, synthesizing elements through stellar nucleosynthesis."",""urdu_meaning"":""ستارے - آسمانی پلازما جہاں جوہری گداخت ہوتی ہے"",""term_type"":""other"",""example_sentence"":""Stars are natural plasma laboratories demonstrating fusion and element formation."",""properties"":{""description"":""Astrophysical plasma systems"",""relevance"":""Nuclear chemistry and element formation""}}"
states of matter,1.2,"{""explanation"":""Distinct forms of matter (solid/liquid/gas/plasma) defined by particle arrangement and mobility."",""urdu_meaning"":""مادّے کی حالتیں - ٹھوس، مائع، گیس، پلازما"",""term_type"":""concept"",""example_sentence"":""States of matter interconvert through energy changes at characteristic temperatures/pressures."",""properties"":{""key_principle"":""Energy-density relationships"",""related_concepts"":[""phase transitions"",""triple point"",""critical phenomena"",""quantum fluids""],""real_world_example"":""Water cycle (evaporation/condensation/freezing)""}}"
sun,1.2,"{""explanation"":""Plasma sphere powered by hydrogen fusion, emitting radiation through photospheric blackbody radiation."",""urdu_meaning"":""سورج - ہائیڈروجن گداخت سے چلنے والا پلازما کرّہ"",""term_type"":""other"",""example_sentence"":""Solar wind consists of plasma ejected from the Sun's corona."",""properties"":{""description"":""Natural fusion reactor"",""relevance"":""Plasma physics and spectroscopy""}}"
supercritical carbon dioxide,1.2,"{""explanation"":""CO₂ above critical point (31°C, 73 atm) with hybrid gas/liquid properties used in green solvent applications."",""urdu_meaning"":""سپر کریٹیکل کاربن ڈائی آکسائیڈ - اپنے ناقد درجہ حرارت اور دباؤ سے اوپر کاربن ڈائی آکسائیڈ"",""term_type"":""compound"",""example_sentence"":""Supercritical CO₂ extracts flavors without thermal degradation in food processing."",""properties"":{""formula"":""CO₂"",""molar_mass"":""44.01 g/mol"",""state_room_temp"":""gas"",""hazards"":[""high-pressure systems"",""asphyxiation risk""]}}"
supercritical fluids,1.2,"{""explanation"":""Substances above critical temperature/pressure exhibiting tunable density/solvency between gas and liquid states."",""urdu_meaning"":""سپر کریٹیکل سیّال - ناقد درجہ حرارت اور دباؤ سے اوپر مادّے"",""term_type"":""concept"",""example_sentence"":""Supercritical fluids provide environmentally friendly alternatives to organic solvents."",""properties"":{""key_principle"":""Continuous gas-liquid transition"",""related_concepts"":[""critical opalescence"",""solvation power"",""extraction efficiency"",""diffusivity""],""real_world_example"":""Decaffeination and essential oil extraction""}}"
temperature,1.2,"{""explanation"":""Measure of average kinetic energy per particle, governing reaction rates and phase equilibria."",""urdu_meaning"":""درجہ حرارت - اوسط حرکی توانائی کی پیمائش"",""term_type"":""property"",""example_sentence"":""Temperature increase accelerates reaction rates per Arrhenius equation."",""properties"":{""key_principle"":""Zeroth law of thermodynamics"",""related_concepts"":[""thermal energy"",""absolute zero"",""heat capacity"",""Boltzmann constant""],""real_world_example"":""Catalytic converters operating optimally at 400-600°C""}}"
thermodynamic principles,1.2,"{""explanation"":""Fundamental laws governing energy conversion and spontaneity in chemical systems."",""urdu_meaning"":""حرحرکی اصول - کیمیائی نظاموں میں توانائی کی تبدیلی اور خودرویت کے قوانین"",""term_type"":""concept"",""example_sentence"":""Thermodynamic principles predict reaction feasibility through ΔG calculations."",""properties"":{""key_principle"":""Laws 0-4"",""related_concepts"":[""enthalpy"",""entropy"",""Gibbs energy"",""chemical potential""],""real_world_example"":""Heat engine efficiency calculations""}}"
thermodynamics,1.2,"{""explanation"":""Study of energy transformations in chemical systems, including heat, work, and state functions."",""urdu_meaning"":""حرحرکیات - کیمیائی نظاموں میں توانائی کی تبدیلیوں کا مطالعہ"",""term_type"":""concept"",""example_sentence"":""Chemical thermodynamics determines battery voltage through Nernst equation."",""properties"":{""key_principle"":""State function path independence"",""related_concepts"":[""Hess's law"",""reversible processes"",""activity coefficients"",""partition functions""],""real_world_example"":""Fuel cell energy conversion efficiency""}}"
two-dimensional crystal,1.2,"{""explanation"":""Atomically thin materials with long-range order, exhibiting quantum confinement effects like graphene."",""urdu_meaning"":""دو جہتی قلم - ایٹمی پتلی مواد جو طویل فاصلے تک ترتیب رکھتے ہیں"",""term_type"":""concept"",""example_sentence"":""Two-dimensional crystals enable ultrathin transistors in flexible electronics."",""properties"":{""key_principle"":""Quantum well confinement"",""related_concepts"":[""van der Waals heterostructures"",""Dirac materials"",""excitons"",""valleytronics""],""real_world_example"":""MXenes for energy storage""}}"
