term,topic_id,enrichment_data
hydrogen peroxide,4.1,"{""explanation"": ""Hydrogen peroxide (H₂O₂) is a chemical compound of hydrogen and oxygen, known as a strong oxidizer and used as a disinfectant, bleach, and in rocket propulsion."", ""urdu_meaning"": ""ہائیڈروجن پر آکسائیڈ - ہائیڈروجن اور آکسیجن کا ایک مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""A 3% solution of hydrogen peroxide is commonly used as a mild antiseptic."", ""properties"": {""formula"": ""H₂O₂"", ""molar_mass"": ""34.0147 g/mol"", ""state_room_temp"": ""liquid (often as aqueous solution)"", ""hazards"": [""Strong oxidizer"", ""Corrosive (at high concentrations)"", ""Irritant"", ""Can decompose to form oxygen and water, potentially explosively""]}}"
h₂s,4.1,"{""explanation"": ""H₂S is the chemical formula for hydrogen sulfide, a colorless, flammable, and highly toxic gas known for its characteristic rotten egg smell."", ""urdu_meaning"": ""ایچ ٹو ایس - ہائیڈروجن سلفائیڈ کا کیمیائی فارمولا"", ""term_type"": ""compound"", ""example_sentence"": ""Hydrogen sulfide (H₂S) is naturally found in volcanic gases, natural gas, and some well waters."", ""properties"": {""formula"": ""H₂S"", ""molar_mass"": ""34.08 g/mol"", ""state_room_temp"": ""gas"", ""hazards"": [""Highly toxic"", ""Flammable"", ""Irritant"", ""Corrosive to some metals""]}}"
individual atoms,4.1,"{""explanation"": ""Individual atoms are single, discrete units of a chemical element, as opposed to atoms bonded together in molecules or extended lattice structures."", ""urdu_meaning"": ""انفرادی ایٹم - کیمیائی عنصر کی واحد، علیحدہ اکائیاں"", ""term_type"": ""concept"", ""example_sentence"": ""Scanning tunneling microscopy (STM) can be used to image and manipulate individual atoms on a surface."", ""properties"": {""key_principle"": ""The smallest particle of an element that retains the chemical identity of that element, considered separately."", ""related_concepts"": [""atoms"", ""molecules"", ""elements"", ""atomic theory"", ""quantum mechanics"", ""spectroscopy""], ""real_world_example"": ""The study of reactions often considers the behavior of individual atoms colliding and interacting.""}}"
ionic compounds,4.1,"{""explanation"": ""Ionic compounds are chemical compounds composed of positively charged ions (cations) and negatively charged ions (anions) held together by electrostatic forces called ionic bonds."", ""urdu_meaning"": ""آئنی مرکبات - مثبت اور منفی آئنوں کے درمیان برقی سکونی قوتوں سے بننے والے مرکبات"", ""term_type"": ""concept"", ""example_sentence"": ""Sodium chloride (NaCl), or table salt, is a common example of an ionic compound."", ""properties"": {""key_principle"": ""Compounds formed by the transfer of electrons between atoms, resulting in oppositely charged ions that attract each other."", ""related_concepts"": [""ionic bonding"", ""ions (cations, anions)"", ""formula units"", ""crystal lattice"", ""electrolytes"", ""metals"", ""nonmetals""], ""real_world_example"": ""Many minerals, such as calcium carbonate (CaCO₃) in limestone, are ionic compounds.""}}"
ions,4.1,"{""explanation"": ""Ions are atoms or molecules that have gained or lost one or more electrons, resulting in a net positive or negative electrical charge."", ""urdu_meaning"": ""آئنز - چارج شدہ ایٹم یا سالمات"", ""term_type"": ""concept"", ""example_sentence"": ""Electrolytes in sports drinks are essentially dissolved ions that help regulate bodily functions."", ""properties"": {""key_principle"": ""Charged species formed by the gain (anion) or loss (cation) of electrons."", ""related_concepts"": [""cations"", ""anions"", ""ionic bonding"", ""ionization"", ""electron transfer"", ""electrolytes"", ""plasma (state of matter)"", ""oxidation state""], ""real_world_example"": ""When salt (NaCl) dissolves in water, it dissociates into Na⁺ and Cl⁻ ions.""}}"
isomers,4.1,"{""explanation"": ""Isomers are molecules or polyatomic ions that have identical molecular formulas—that is, the same number of atoms of each element—but distinct arrangements of atoms in space."", ""urdu_meaning"": ""آئسومرز / ہم ترکیب - ایک ہی سالمی فارمولا مگر مختلف ساختی ترتیب والے سالمات"", ""term_type"": ""concept"", ""example_sentence"": ""Butane and isobutane are isomers with the molecular formula C₄H₁₀ but different structural arrangements and properties."", ""properties"": {""key_principle"": ""Different compounds sharing the same molecular formula but having different structures and, therefore, different properties."", ""related_concepts"": [""molecular formula"", ""structural formula"", ""stereoisomers (e.g., enantiomers, diastereomers)"", ""constitutional (structural) isomers"", ""chirality"", ""organic chemistry""], ""real_world_example"": ""Glucose and fructose are isomers (both C₆H₁₂O₆); glucose is an aldose sugar, while fructose is a ketose sugar, leading to different biochemical roles.""}}"
magnesium chloride,4.1,"{""explanation"": ""Magnesium chloride (MgCl₂) is an ionic compound of magnesium and chlorine, used in medicine, as a de-icer, and as a source of magnesium."", ""urdu_meaning"": ""میگنیشیم کلورائیڈ - میگنیشیم اور کلورین کا آئنی مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""Magnesium chloride is often extracted from brine or seawater."", ""properties"": {""formula"": ""MgCl₂"", ""molar_mass"": ""95.211 g/mol"", ""state_room_temp"": ""solid"", ""hazards"": [""Irritant (especially to eyes and skin)"", ""Hygroscopic""]}}"
methane,4.1,"{""explanation"": ""Methane (CH₄) is the simplest alkane, a hydrocarbon consisting of one carbon atom and four hydrogen atoms. It is a potent greenhouse gas and the main component of natural gas."", ""urdu_meaning"": ""میتھین - ایک کاربن اور چار ہائیڈروجن ایٹموں پر مشتمل سادہ ترین الکین"", ""term_type"": ""compound"", ""example_sentence"": ""Methane is produced by anaerobic digestion by methanogenic bacteria."", ""properties"": {""formula"": ""CH₄"", ""molar_mass"": ""16.04 g/mol"", ""state_room_temp"": ""gas"", ""hazards"": [""Highly flammable"", ""Asphyxiant in high concentrations"", ""Greenhouse gas""]}}"
minimum ratio,4.1,"{""explanation"": ""The minimum ratio in chemistry usually refers to the empirical formula of a compound, which represents the simplest whole-number ratio of atoms of each element in the compound."", ""urdu_meaning"": ""کم از کم تناسب - کسی مرکب میں عناصر کے ایٹموں کا سادہ ترین عددی تناسب (تجرباتی فارمولے میں)"", ""term_type"": ""concept"", ""example_sentence"": ""The minimum ratio of carbon to hydrogen in acetylene (C₂H₂) is 1:1, so its empirical formula is CH."", ""properties"": {""key_principle"": ""The simplest whole-number proportion of constituent elements in a chemical compound."", ""related_concepts"": [""empirical formula"", ""molecular formula"", ""stoichiometry"", ""percent composition"", ""law of definite proportions""], ""real_world_example"": ""For glucose (C₆H₁₂O₆), the molecular formula shows a 6:12:6 ratio, but the minimum ratio (empirical formula) is CH₂O (1:2:1).""}}"
molecular formula,4.1,"{""explanation"": ""A molecular formula is a chemical formula that gives the actual number of atoms of each element present in one molecule of a specific compound."", ""urdu_meaning"": ""سالمی فارمولا / مالیکیولر فارمولا - ایک سالمے میں ہر عنصر کے ایٹموں کی حقیقی تعداد"", ""term_type"": ""concept"", ""example_sentence"": ""The molecular formula for glucose is C₆H₁₂O₆, while its empirical formula is CH₂O."", ""properties"": {""key_principle"": ""Represents the exact number of atoms of each element in a single molecule."", ""related_concepts"": [""empirical formula"", ""chemical formula"", ""molecules"", ""covalent compounds"", ""stoichiometry"", ""molar mass""], ""real_world_example"": ""Hydrogen peroxide has the molecular formula H₂O₂, indicating two hydrogen and two oxygen atoms per molecule.""}}"
molecules,4.1,"{""explanation"": ""Molecules are electrically neutral groups of two or more atoms held together by chemical bonds (typically covalent bonds), acting as a single distinct unit."", ""urdu_meaning"": ""سالمات / مالیکیول - کیمیائی بندھنوں سے جڑے دو یا زیادہ ایٹموں کے گروہ"", ""term_type"": ""concept"", ""example_sentence"": ""A water molecule consists of two hydrogen atoms and one oxygen atom."", ""properties"": {""key_principle"": ""The smallest particle of a substance that retains the chemical and physical properties of that substance and is composed of two or more atoms."", ""related_concepts"": [""atoms"", ""covalent bonds"", ""compounds"", ""elements (e.g., O₂, N₂)"", ""discrete molecules"", ""intermolecular forces"", ""molecular geometry""], ""real_world_example"": ""Oxygen gas in the air we breathe consists of O₂ molecules.""}}"
neon,4.1,"{""explanation"": ""Neon (Ne) is a chemical element with atomic number 10, an inert noble gas known for its use in bright reddish-orange advertising signs."", ""urdu_meaning"": ""نیون - ایک کیمیائی عنصر، نجیب گیس"", ""term_type"": ""element"", ""example_sentence"": ""Neon gas emits a characteristic orange-red glow when an electric current is passed through it."", ""properties"": {""symbol"": ""Ne"", ""atomic_number"": 10, ""category"": ""nonmetal"", ""state_room_temp"": ""gas"", ""common_uses"": [""Lighting (neon signs)"", ""Cryogenic refrigerant"", ""Lasers (He-Ne lasers)"", ""Television tubes"", ""High-voltage indicators""]}}"
nitrogen,4.1,"{""explanation"": ""Nitrogen (N) is a chemical element with atomic number 7, a nonmetal that constitutes about 78% of Earth's atmosphere as diatomic nitrogen gas (N₂)."", ""urdu_meaning"": ""نائٹروجن - ایک کیمیائی عنصر جو زمین کی فضا کا بڑا حصہ ہے"", ""term_type"": ""element"", ""example_sentence"": ""Nitrogen is essential for plant growth and is a key component of proteins and nucleic acids."", ""properties"": {""symbol"": ""N"", ""atomic_number"": 7, ""category"": ""nonmetal"", ""state_room_temp"": ""gas"", ""common_uses"": [""Production of ammonia (for fertilizers)"", ""Inert atmosphere for chemical processes and food packaging"", ""Cryogenics (liquid nitrogen)"", ""Explosives"", ""Electronic components manufacturing""]}}"
noble gases,4.1,"{""explanation"": ""Noble gases (Group 18 of the periodic table) are a group of chemical elements characterized by their very low chemical reactivity due to having a full valence electron shell."", ""urdu_meaning"": ""نجیب گیسیں / نوبل گیسیں - بہت کم کیمیائی تعامل والی گیسوں کا گروہ"", ""term_type"": ""concept"", ""example_sentence"": ""Helium, neon, and argon are examples of noble gases used in lighting and welding."", ""properties"": {""key_principle"": ""Elements with complete valence electron shells, making them largely unreactive (inert)."", ""related_concepts"": [""elements"", ""periodic table (Group 18)"", ""helium"", ""neon"", ""argon"", ""krypton"", ""xenon"", ""radon"", ""valence electrons"", ""octet rule"", ""inertness""], ""real_world_example"": ""Argon, a noble gas, is used in incandescent light bulbs to prevent the filament from oxidizing.""}}"
numerical subscripts,4.1,"{""explanation"": ""Numerical subscripts in chemical formulas are numbers written to the lower right of an element's symbol, indicating the number of atoms of that element in a molecule or formula unit."", ""urdu_meaning"": ""عددی زیر نوشت / عددی سب اسکرپٹ - کیمیائی فارمولوں میں ایٹموں کی تعداد ظاہر کرنے والے اعداد"", ""term_type"": ""concept"", ""example_sentence"": ""In the formula H₂O, the numerical subscript '2' indicates that there are two hydrogen atoms."", ""properties"": {""key_principle"": ""Notation conventions in chemical formulas to denote atom counts."", ""related_concepts"": [""chemical formula"", ""molecular formula"", ""empirical formula"", ""stoichiometry"", ""element symbols""], ""real_world_example"": ""The numerical subscript '6' in C₆H₁₂O₆ (glucose) signifies six carbon atoms.""}}"
octane,4.1,"{""explanation"": ""Octane (C₈H₁₈) is an alkane hydrocarbon with eight carbon atoms, a major component of gasoline (petrol) known for its anti-knock properties."", ""urdu_meaning"": ""آکٹین - آٹھ کاربن ایٹموں والا ہائیڈروکاربن، پیٹرول کا اہم جزو"", ""term_type"": ""compound"", ""example_sentence"": ""The octane rating of gasoline indicates its resistance to premature ignition or knocking."", ""properties"": {""formula"": ""C₈H₁₈ (referring to isomers, n-octane being one)"", ""molar_mass"": ""114.23 g/mol (for n-octane)"", ""state_room_temp"": ""liquid"", ""hazards"": [""Flammable"", ""Irritant"", ""Harmful if inhaled or swallowed"", ""Environmental pollutant""]}}"
oxygen,4.1,"{""explanation"": ""Oxygen (O) is a chemical element with atomic number 8, a highly reactive nonmetal essential for respiration in most living organisms and for combustion."", ""urdu_meaning"": ""آکسیجن - ایک کیمیائی عنصر جو سانس لینے اور جلنے کے لیے ضروری ہے"", ""term_type"": ""element"", ""example_sentence"": ""Plants release oxygen into the atmosphere as a byproduct of photosynthesis."", ""properties"": {""symbol"": ""O"", ""atomic_number"": 8, ""category"": ""nonmetal"", ""state_room_temp"": ""gas"", ""common_uses"": [""Respiration (medical and life support)"", ""Combustion processes"", ""Steel production"", ""Water treatment"", ""Rocket propellant (oxidizer)""]}}"
oxygen atom,4.1,"{""explanation"": ""An oxygen atom is an atom of the element oxygen, typically possessing 8 protons, 8 neutrons, and 8 electrons, with 6 valence electrons making it highly reactive."", ""urdu_meaning"": ""آکسیجن ایٹم - آکسیجن عنصر کا ایک ایٹم"", ""term_type"": ""concept"", ""example_sentence"": ""In a water molecule (H₂O), one oxygen atom is bonded to two hydrogen atoms."", ""properties"": {""key_principle"": ""An atom of element oxygen, characterized by its high electronegativity and ability to form strong bonds."", ""related_concepts"": [""oxygen (element)"", ""chemical bonding (covalent, ionic)"", ""oxidation"", ""oxides"", ""ozone (O₃)"", ""valence electrons""], ""real_world_example"": ""The reactivity of an oxygen atom plays a crucial role in metabolic processes like cellular respiration.""}}"
oxygen gas,4.1,"{""explanation"": ""Oxygen gas (O₂) refers to the diatomic molecule of oxygen, which is the predominant form of elemental oxygen in Earth's atmosphere and is vital for aerobic respiration."", ""urdu_meaning"": ""آکسیجن گیس - آکسیجن کی دو ایٹمی سالمی شکل (O₂)"", ""term_type"": ""concept"", ""example_sentence"": ""Humans and many other organisms require oxygen gas for breathing and energy production."", ""properties"": {""key_principle"": ""The stable diatomic form of elemental oxygen (O₂) under standard conditions."", ""related_concepts"": [""oxygen (element)"", ""diatomic molecules"", ""combustion"", ""respiration"", ""photosynthesis"", ""atmosphere""], ""real_world_example"": ""Hospitals supply patients with oxygen gas for respiratory support.""}}"
ozone,4.1,"{""explanation"": ""Ozone (O₃) is an allotrope of oxygen consisting of three oxygen atoms, known for forming the protective ozone layer in the stratosphere and as a pollutant at ground level."", ""urdu_meaning"": ""اوزون - آکسیجن کی ایک شکل (O₃) جو تین آکسیجن ایٹموں پر مشتمل ہے"", ""term_type"": ""compound"", ""example_sentence"": ""The ozone layer in the upper atmosphere absorbs most of the Sun's harmful ultraviolet radiation."", ""properties"": {""formula"": ""O₃"", ""molar_mass"": ""48.00 g/mol"", ""state_room_temp"": ""gas"", ""hazards"": [""Toxic by inhalation"", ""Strong oxidizer"", ""Lung irritant (ground-level ozone)"", ""Unstable, decomposes to O₂""]}}"
periodic table,4.1,"{""explanation"": ""The periodic table is a tabular arrangement of chemical elements, ordered by their atomic number, electron configurations, and recurring chemical properties, providing a framework to classify and understand elements."", ""urdu_meaning"": ""دوری جدول / پیریوڈک ٹیبل - کیمیائی عناصر کی منظم ترتیب"", ""term_type"": ""concept"", ""example_sentence"": ""The periodic table allows chemists to predict the properties of elements and their compounds."", ""properties"": {""key_principle"": ""Systematic organization of elements showing periodic trends in their properties."", ""related_concepts"": [""elements"", ""atomic number"", ""electron configuration"", ""groups (columns)"", ""periods (rows)"", ""metals"", ""nonmetals"", ""metalloids"", ""periodic trends (e.g., electronegativity, ionization energy)""], ""real_world_example"": ""Using the periodic table, one can infer that elements in Group 1 (alkali metals) are highly reactive.""}}"
potassium bromide,4.1,"{""explanation"": ""Potassium bromide (KBr) is an ionic salt composed of potassium ions and bromide ions, historically used as an anticonvulsant and sedative."", ""urdu_meaning"": ""پوٹاشیم برومائیڈ - پوٹاشیم اور برومین کا آئنی نمک"", ""term_type"": ""compound"", ""example_sentence"": ""Potassium bromide is a white crystalline solid that is soluble in water."", ""properties"": {""formula"": ""KBr"", ""molar_mass"": ""119.002 g/mol"", ""state_room_temp"": ""solid"", ""hazards"": [""Irritant"", ""Can cause drowsiness in large doses (historically)""]}}"
potassium ion,4.1,"{""explanation"": ""A potassium ion (K⁺) is formed when a potassium atom loses one electron, resulting in a +1 charge; it is an essential electrolyte in living organisms."", ""urdu_meaning"": ""پوٹاشیم آئن - پوٹاشیم ایٹم سے بننے والا مثبت آئن"", ""term_type"": ""concept"", ""example_sentence"": ""Potassium ions play a critical role in nerve function and maintaining fluid balance within cells."", ""properties"": {""key_principle"": ""A potassium atom that has lost its single valence electron, resulting in a +1 charge."", ""related_concepts"": [""cations"", ""ions"", ""alkali metals"", ""ionic compounds"", ""electrolytes"", ""nerve impulse"", ""membrane potential""], ""real_world_example"": ""Bananas are a well-known dietary source of potassium ions.""}}"
proportions,4.1,"{""explanation"": ""In chemistry, proportions refer to the quantitative relationship between the amounts of different substances in a mixture or elements in a compound, often governed by laws like the Law of Definite Proportions."", ""urdu_meaning"": ""تناسبات - کسی مرکب یا آمیزے میں اجزاء کی مقداری نسبت"", ""term_type"": ""concept"", ""example_sentence"": ""The Law of Definite Proportions states that a chemical compound always contains its component elements in fixed proportions by mass."", ""properties"": {""key_principle"": ""The fixed or variable ratios by mass or moles of components in chemical systems."", ""related_concepts"": [""stoichiometry"", ""Law of Definite Proportions"", ""Law of Multiple Proportions"", ""chemical formula"", ""percent composition"", ""concentration"", ""ratios""], ""real_world_example"": ""Water (H₂O) always consists of hydrogen and oxygen in a 2:1 atomic proportion and approximately an 11.19% to 88.81% mass proportion, respectively.""}}"
sodium chloride,4.1,"{""explanation"": ""Sodium chloride (NaCl), commonly known as table salt, is an ionic compound made of sodium ions and chloride ions, essential for life and widely used as a food seasoning and preservative."", ""urdu_meaning"": ""سوڈیم کلورائیڈ (عام نمک) - سوڈیم اور کلورین کا آئنی مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""Sodium chloride crystallizes in a cubic lattice structure."", ""properties"": {""formula"": ""NaCl"", ""molar_mass"": ""58.44 g/mol"", ""state_room_temp"": ""solid"", ""hazards"": [""Generally Recognized As Safe (GRAS) in food amounts"", ""Large doses can be harmful (e.g., hypertension)""]}}"
sodium oxide,4.1,"{""explanation"": ""Sodium oxide (Na₂O) is an ionic compound formed from sodium and oxygen, a highly basic oxide that reacts vigorously with water to form sodium hydroxide."", ""urdu_meaning"": ""سوڈیم آکسائیڈ - سوڈیم اور آکسیجن کا آئنی مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""Sodium oxide is a key component in the manufacture of glass and ceramics."", ""properties"": {""formula"": ""Na₂O"", ""molar_mass"": ""61.9789 g/mol"", ""state_room_temp"": ""solid"", ""hazards"": [""Corrosive"", ""Reacts violently with water"", ""Irritant"", ""Basic (forms strong alkali)""]}}"
stoichiometry,4.1,"{""explanation"": ""Stoichiometry is the branch of chemistry that deals with the quantitative relationships between reactants and products in chemical reactions, based on balanced chemical equations and the mole concept."", ""urdu_meaning"": ""کیمیائی مقدار شماری / سٹوکیومیٹری - کیمیائی تعاملات میں متعاملات اور حاصلات کے مقداری تعلقات کا مطالعہ"", ""term_type"": ""concept"", ""example_sentence"": ""Stoichiometry allows chemists to calculate the amount of product that can be formed from a given amount of reactant."", ""properties"": {""key_principle"": ""The calculation of quantities in chemical reactions using mole ratios from balanced equations."", ""related_concepts"": [""chemical equations"", ""mole concept"", ""molar mass"", ""limiting reactant"", ""excess reactant"", ""theoretical yield"", ""percent yield"", ""law of conservation of mass""], ""real_world_example"": ""Using stoichiometry to determine the exact amount of oxygen needed for the complete combustion of 10 grams of methane.""}}"
structural story,4.1,"{""explanation"": ""The 'structural story' of a molecule refers to how its specific three-dimensional arrangement of atoms and bonds (its structure) dictates its physical and chemical properties, behavior, and function."", ""urdu_meaning"": ""ساختی وضاحت / ساخت اور خصوصیات کا تعلق - سالمے کی ساخت کا اس کی خصوصیات پر اثر"", ""term_type"": ""concept"", ""example_sentence"": ""The structural story of DNA, with its double helix, explains how it stores and transmits genetic information."", ""properties"": {""key_principle"": ""The direct relationship between a molecule's architecture (structure) and its observable characteristics and reactivity."", ""related_concepts"": [""structural formula"", ""isomers"", ""molecular geometry (VSEPR theory)"", ""chemical bonding"", ""conformation"", ""chirality"", ""structure-property relationships"", ""pharmacology (drug design)""], ""real_world_example"": ""The bent structural story of a water molecule (H₂O) explains its polarity, high boiling point (due to hydrogen bonding), and solvent properties.""}}"
subscripts,4.1,"{""explanation"": ""Subscripts are characters (typically numbers or letters) set slightly below the normal line of type, commonly used in chemical formulas to indicate the number of atoms of an element in a molecule or formula unit."", ""urdu_meaning"": ""زیر نوشت / سب اسکرپٹس - کیمیائی فارمولوں میں ایٹموں کی تعداد یا دیگر معلومات ظاہر کرنے والے نشانات"", ""term_type"": ""concept"", ""example_sentence"": ""In the chemical formula C₆H₁₂O₆, the numbers 6, 12, and 6 are subscripts indicating the count of carbon, hydrogen, and oxygen atoms respectively."", ""properties"": {""key_principle"": ""Notational convention in scientific and mathematical expressions placed below the baseline."", ""related_concepts"": [""chemical formula"", ""numerical subscripts"", ""element symbols"", ""molecular formula"", ""empirical formula"", ""mathematical notation""], ""real_world_example"": ""The subscript '2' in O₂ denotes a molecule composed of two oxygen atoms.""}}"
valence electrons,4.1,"{""explanation"": ""Valence electrons are the electrons located in the outermost electron shell of an atom, which are involved in forming chemical bonds with other atoms."", ""urdu_meaning"": ""ویلنس الیکٹران / گرفتی الیکٹران - ایٹم کے بیرونی شیل میں موجود الیکٹران جو کیمیائی بندھن بناتے ہیں"", ""term_type"": ""concept"", ""example_sentence"": ""Carbon has four valence electrons, allowing it to form a wide variety of organic compounds."", ""properties"": {""key_principle"": ""Electrons in the highest occupied energy level of an atom, determining its chemical reactivity and bonding behavior."", ""related_concepts"": [""electron configuration"", ""chemical bonding (covalent, ionic)"", ""octet rule"", ""Lewis structures"", ""periodic table groups"", ""oxidation states"", ""reactivity""], ""real_world_example"": ""Alkali metals (Group 1) have one valence electron, making them highly reactive and prone to losing that electron to form a +1 ion.""}}"
water,4.1,"{""explanation"": ""Water (H₂O) is a chemical compound consisting of two hydrogen atoms and one oxygen atom, essential for all known forms of life and existing as a liquid at room temperature."", ""urdu_meaning"": ""پانی - دو ہائیڈروجن اور ایک آکسیجن ایٹموں پر مشتمل کیمیائی مرکب، زندگی کے لیے لازمی"", ""term_type"": ""compound"", ""example_sentence"": ""The polarity of water molecules allows them to form hydrogen bonds, leading to many of its unique properties."", ""properties"": {""formula"": ""H₂O"", ""molar_mass"": ""18.01528 g/mol"", ""state_room_temp"": ""liquid"", ""hazards"": [""Generally safe"", ""Risk of drowning"", ""Hyponatremia if consumed in extreme excess without electrolytes""]}}"
aluminum oxide,4.3,"{""explanation"": ""Aluminum oxide (Al₂O₃) is an inorganic ionic compound of aluminum and oxygen, known for its hardness and high melting point, commonly found as corundum or used in abrasives and ceramics."", ""urdu_meaning"": ""ایلومینیم آکسائیڈ - ایلومینیم اور آکسیجن کا ایک غیر نامیاتی آئنی مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""The formula for aluminum oxide, derived from Al³⁺ and O²⁻ ions, is Al₂O₃."", ""properties"": {""formula"": ""Al₂O₃"", ""molar_mass"": ""101.96 g/mol"", ""state_room_temp"": ""solid"", ""hazards"": [""Irritant (dust)"", ""Abrasive""]}}"
anion,4.3,"{""explanation"": ""An anion is an ion that has gained one or more electrons, resulting in a net negative electrical charge."", ""urdu_meaning"": ""اینائن - منفی چارج والا آئن"", ""term_type"": ""concept"", ""example_sentence"": ""When a chlorine atom gains an electron, it becomes a chloride anion (Cl⁻)."", ""properties"": {""key_principle"": ""Negatively charged ion formed by the gain of electrons, typically by nonmetal atoms."", ""related_concepts"": [""ions"", ""cations"", ""ionic bonding"", ""electron affinity"", ""oxidation state"", ""polyatomic ions""], ""real_world_example"": ""The oxide ion (O²⁻) is an anion commonly found in metal oxides.""}}"
anion charges,4.3,"{""explanation"": ""Anion charges represent the magnitude of the negative charge on an anion, indicating the number of electrons gained by the neutral atom or group."", ""urdu_meaning"": ""اینائن چارجز - اینائن پر منفی چارج کی مقدار"", ""term_type"": ""concept"", ""example_sentence"": ""Common anion charges for nonmetals in groups 15, 16, and 17 are typically -3, -2, and -1, respectively."", ""properties"": {""key_principle"": ""The net negative charge on an ion resulting from an excess of electrons compared to protons."", ""related_concepts"": [""anion"", ""ions"", ""valence electrons"", ""electron gain"", ""periodic table trends"", ""oxidation state""], ""real_world_example"": ""The sulfide ion (S²⁻) has an anion charge of 2- because a sulfur atom gains two electrons to achieve a stable electron configuration.""}}"
binary ionic compound,4.3,"{""explanation"": ""A binary ionic compound is a chemical compound composed of exactly two different elements: a metal (forming a cation) and a nonmetal (forming an anion), held together by ionic bonds."", ""urdu_meaning"": ""دو عنصری آئنی مرکب - دو مختلف عناصر (ایک دھات اور ایک غیر دھات) پر مشتمل آئنی مرکب"", ""term_type"": ""concept"", ""example_sentence"": ""Sodium chloride (NaCl) is a classic example of a binary ionic compound."", ""properties"": {""key_principle"": ""An ionic compound formed from one type of metallic cation and one type of nonmetallic anion."", ""related_concepts"": [""ionic compounds"", ""cations"", ""anions"", ""ionic bonding"", ""chemical formula"", ""naming ionic compounds""], ""real_world_example"": ""Magnesium oxide (MgO) is a binary ionic compound formed from magnesium ions (Mg²⁺) and oxide ions (O²⁻).""}}"
binary ionic compounds,4.3,"{""explanation"": ""Binary ionic compounds are chemical substances formed from the ionic bonding of cations from one metallic element and anions from one nonmetallic element."", ""urdu_meaning"": ""دو عنصری آئنی مرکبات - ایک دھاتی عنصر کے کیٹائنز اور ایک غیر دھاتی عنصر کے اینائنز کے آئنی بندھن سے بننے والے کیمیائی مادے"", ""term_type"": ""concept"", ""example_sentence"": ""Many simple salts, like potassium bromide (KBr) and calcium sulfide (CaS), are binary ionic compounds."", ""properties"": {""key_principle"": ""Ionic compounds consisting of only two types of elements, one metal and one nonmetal."", ""related_concepts"": [""binary ionic compound (singular)"", ""ionic compounds"", ""cations"", ""anions"", ""chemical nomenclature"", ""formula writing""], ""real_world_example"": ""Examples of binary ionic compounds include LiF (lithium fluoride) and AlN (aluminum nitride).""}}"
calcium chloride,4.3,"{""explanation"": ""Calcium chloride (CaCl₂) is an ionic compound of calcium and chlorine, widely used as a desiccant and for de-icing roads."", ""urdu_meaning"": ""کیلشیم کلورائیڈ - کیلشیم اور کلورین کا آئنی مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""The chemical formula for calcium chloride, CaCl₂, reflects the +2 charge of the calcium ion and the -1 charge of the chloride ion."", ""properties"": {""formula"": ""CaCl₂"", ""molar_mass"": ""110.98 g/mol"", ""state_room_temp"": ""solid"", ""hazards"": [""Irritant"", ""Hygroscopic"", ""Generates heat when dissolved in water""]}}"
calcium phosphide,4.3,"{""explanation"": ""Calcium phosphide (Ca₃P₂) is an ionic compound formed from calcium and phosphorus, which reacts with water to produce highly toxic phosphine gas."", ""urdu_meaning"": ""کیلشیم فاسفائیڈ - کیلشیم اور فاسفورس کا آئنی مرکب"", ""term_type"": ""compound"", ""example_sentence"": ""The formula for calcium phosphide is Ca₃P₂, derived from Ca²⁺ and P³⁻ ions."", ""properties"": {""formula"": ""Ca₃P₂"", ""molar_mass"": ""182.18 g/mol"", ""state_room_temp"": ""solid (often reddish-brown or grey)"", ""hazards"": [""Reacts with water or acids to produce highly toxic and flammable phosphine gas (PH₃)"", ""Flammable solid""]}}"
cation,4.3,"{""explanation"": ""A cation is an ion that has lost one or more electrons, resulting in a net positive electrical charge."", ""urdu_meaning"": ""کیٹائن - مثبت چارج والا آئن"", ""term_type"": ""concept"", ""example_sentence"": ""When a sodium atom loses an electron, it becomes a sodium cation (Na⁺)."", ""properties"": {""key_principle"": ""Positively charged ion formed by the loss of electrons, typically by metal atoms."", ""related_concepts"": [""ions"", ""anions"", ""ionic bonding"", ""ionization energy"", ""oxidation state"", ""polyatomic ions""], ""real_world_example"": ""The aluminum ion (Al³⁺) is a cation commonly found in minerals like bauxite.""}}"
cation charges,4.3,"{""explanation"": ""Cation charges represent the magnitude of the positive charge on a cation, indicating the number of electrons lost by the neutral atom or group."", ""urdu_meaning"": ""کیٹائن چارجز - کیٹائن پر مثبت چارج کی مقدار"", ""term_type"": ""concept"", ""example_sentence"": ""Alkali metals typically form cations with a +1 charge, while alkaline earth metals form cations with a +2 charge."", ""properties"": {""key_principle"": ""The net positive charge on an ion resulting from a deficit of electrons compared to protons."", ""related_concepts"": [""cation"", ""ions"", ""valence electrons"", ""electron loss"", ""periodic table trends"", ""oxidation state"", ""transition metals (variable charges)""], ""real_world_example"": ""The iron(III) ion (Fe³⁺) has a cation charge of 3+ because an iron atom has lost three electrons.""}}"
